u b v r i+ z++ vista_y vista_j vista_h vista_k irac_1 irac_2 Z_SIM
25.55147 25.55754 25.24423 24.97671 24.28948 23.71298 23.59352 23.36916 23.15001 22.98229 22.86515 23.21541 0.99922
24.35089 24.38062 23.94872 23.67029 22.98961 22.39852 22.27455 22.02603 21.75778 21.52447 21.34219 21.67133 0.99649
25.8639 25.87856 25.81977 25.70365 25.20778 24.75648 24.66999 24.4916 24.30092 24.1638 24.09931 24.46349 0.99562
25.12222 25.10857 24.53048 24.11508 23.2671 22.57878 22.42618 22.13852 21.84546 21.59759 21.39181 21.72042 0.99386
25.33551 25.35618 25.15381 24.96047 24.33028 23.82446 23.73084 23.55135 23.36545 23.22834 23.15423 23.51522 0.99084
24.52544 24.50924 24.12578 23.78051 23.0412 22.37326 22.206 21.90208 21.59525 21.35209 21.16632 21.50539 0.98845
25.80884 25.78357 25.54409 25.25502 24.54833 23.93713 23.7889 23.51776 23.24554 23.04901 22.90755 23.26307 0.98636
26.68781 26.37813 25.50175 24.62241 23.5801 22.66386 22.42188 22.01073 21.65648 21.36136 21.15007 21.48056 0.9833
25.91212 25.91984 25.81281 25.61784 24.99432 24.4541 24.33139 24.10796 23.89004 23.74339 23.65958 24.0289 0.98286
25.91208 25.90418 25.74715 25.5062 24.80659 24.26841 24.157 23.95275 23.75216 23.61504 23.54329 23.91852 0.98044
30.49288 29.53662 28.1785 27.17719 26.09267 25.20582 24.9572 24.55729 24.20453 23.98149 23.824 24.184 0.97816
26.0991 26.11439 26.07292 25.9721 25.4985 25.05805 24.97218 24.78499 24.57988 24.42436 24.33409 24.69605 0.97636
25.548 25.46553 24.79964 24.2426 23.30664 22.53523 22.34085 21.99378 21.66596 21.4132 21.22445 21.56873 0.97384
26.58591 26.52246 26.2458 25.89992 25.07273 24.50984 24.3896 24.17622 23.97835 23.85631 23.79613 24.17639 0.9716
23.73069 23.73145 23.29416 23.00591 22.27648 21.72605 21.61313 21.37587 21.10086 20.85332 20.6756 21.01927 0.96974
26.35792 26.33269 25.97692 25.64686 24.88109 24.27364 24.13372 23.86414 23.59648 23.40687 23.27527 23.64056 0.96909
24.73578 24.72729 24.37502 24.0875 23.37763 22.7572 22.60195 22.30195 21.98629 21.72723 21.53274 21.87634 0.9668
26.3374 26.32271 26.10133 25.8432 25.12934 24.58474 24.46062 24.22961 23.99661 23.83795 23.74315 24.11628 0.96521
25.01761 24.9854 24.47066 24.07563 23.22555 22.57109 22.4137 22.12007 21.82409 21.58895 21.40903 21.76231 0.96434
25.88379 25.8901 25.71641 25.51896 24.87712 24.37927 24.26784 24.05697 23.84534 23.70287 23.62812 24.00668 0.96153
27.11979 27.08555 26.75757 26.4263 25.60428 25.06013 24.93935 24.71693 24.49723 24.34819 24.26427 24.63915 0.95873
24.74247 24.77048 24.5247 24.38242 23.79354 23.40902 23.34175 23.20876 23.05739 22.94953 22.91689 23.30261 0.95789
26.07801 26.08215 25.83891 25.62982 24.94227 24.47576 24.37287 24.17204 23.96719 23.82815 23.7578 24.14018 0.95282
26.10229 26.10862 25.94306 25.73161 25.08974 24.55037 24.42025 24.16842 23.91404 23.74904 23.65218 24.03106 0.94966
27.6621 27.57689 27.10671 26.57481 25.69741 24.93211 24.71917 24.33279 23.96524 23.73303 23.5867 23.96272 0.94678
26.1888 26.1745 25.92911 25.6599 24.90908 24.36564 24.24052 23.98394 23.71758 23.53445 23.41272 23.79026 0.94475
